방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,방향,층,총 층,건축물 용도,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설
다가구2층,"4,000",70,0,2,1,서울시 강북구 우이동 124-31,13.55평/13.55평(전용률100%),0원,불가능,동향,1,2,단독주택,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",단층,1994,none,none
일반원룸2층,500,30,0,1,1,서울시 강북구 우이동 100-57,23.01평/3.81평(전용률17%),0원,가능,서향,2,5,제2종 근린생활시설,0,1,대우공인중개사사무소,"02-997-1881,010-3528-1881",단층,2012.03.30,none,none
일반원룸2층,500,30,0,1,1,서울시 강북구 우이동 73-56,6.05평/5.44평(전용률90%),5만원,불가능,동향,2,3,단독주택,0,1,신하나공인중개사사무소,"02-996-1134,010-6342-4597",단층,2018.01.15,"냉장고, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ",none
일반원룸2층,500,35,0,2,1,서울시 강북구 우이동 72-157,9.98평/9.07평(전용률91%),5만원,불가능,동향,4,5,단독주택,0,1,신하나공인중개사사무소,"02-996-1134,010-6342-4597",단층,2019.10.18,"벽걸이에어컨, ",none
일반원룸4층,"2,000",75,0,2,1,서울시 강북구 우이동 94-7,11.31평/9.77평(전용률86%),0원,불가능,남서향,2,3,공동주택,0,1,대우공인중개사사무소,"02-997-1881,010-3528-1881",none,1992.06.20,none,none
빌라,"3,000",80,0,2,1,서울시 강북구 우이동 71-21,28.13평/10.89평(전용률39%),0원,가능,서향,2,4,단독주택,0,1,아담부동산공인중개사사무소,010-3668-8122,none,2005,none,none
일반원룸1층,300,40,0,1,1,서울시 강북구 우이동 72-66,6.05평/5.14평(전용률85%),5만원,불가능,서향,1,3,단독주택,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",단층,2016.10.06,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 전자레인지, 책상, 침대, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, 화재경보기, "
일반원룸1층,300,40,0,1,1,서울시 강북구 우이동,23.52평/5.88평(전용률25%),5만원,불가능,남동향,1,3,단독주택,0,1,대우공인중개사사무소,"02-997-1881,010-3528-1881",단층,2009.09.29,"가스레인지, 신발장, 침대, 벽걸이에어컨, ",none
단독1층,500,30,0,1,-,서울시 강북구 우이동 56-45,7.26평/4.95평(전용률68%),5만원,불가능,동향,2,5,공동주택,0,1,신하나공인중개사사무소,010-6342-4597,단층,2012.01.02,"냉장고, 신발장, 싱크대, 옷장, 책상, 벽걸이에어컨, ",none
일반원룸2층,500,38,0,1,1,서울시 강북구 우이동 72-66,6.05평/5.74평(전용률95%),5만원,불가능,동향,1,3,단독주택,0,1,신하나공인중개사사무소,010-6342-4597,단층,2016.10.06,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 벽걸이에어컨, ",none
빌라2층,"3,000",50,0,2,1,서울시 강북구 우이동 94-7,11.31평/9.77평(전용률86%),0원,가능,서향,2,3,공동주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",none,1992.06.20,none,none
빌라2층,"3,000",50,0,1,1,서울시 강북구 우이동,4.23평/4.23평(전용률100%),3만원,불가능,남향,2,4,단독주택,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",단층,2011,none,none
단독2층,500,30,0,1,1,서울시 강북구 우이동 72-17,5.44평/4.53평(전용률83%),5만원,불가능,동향,2,3,단독주택,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",단층,2017.04.24,"냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, "
일반원룸고층,300,30,0,1,1,서울시 강북구 우이동 100-57,23.01평/3.81평(전용률17%),0원,불가능,남동향,고,5,단독주택,0,1,대우공인중개사사무소,"02-997-1881,010-3528-1881",단층,2012.03.30,"가스레인지, 냉장고, 신발장, 싱크대, 전자레인지, 침대, 벽걸이에어컨, ",none
일반원룸고층,300,30,0,1,1,서울시 강북구 우이동 56-45,4.87평/4.87평(전용률100%),3만원,불가능,서향,3,5,공동주택,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",none,2013,none,none
빌라3층,500,40,0,1,1,서울시 강북구 우이동 73-63,7.86평/7.86평(전용률100%),5만원,가능,서향,3,4,단독주택,0,1,한국공인중개사사무소,"02-907-2600,010-9337-6325",단층,2022.05.16,"비디오폰, 인터폰, 카드키, CCTV, 현관보안, 엘리베이터, 무인택배함, ",none
단독,500,35,0,2,1,서울시 강북구 우이동,9.98평/9.98평(전용률100%),0원,불가능,동향,1,2,단독주택,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",단층,none,none,none
단독,500,25,0,2,1,서울시 강북구 우이동,9.98평/9.98평(전용률100%),0원,불가능,남향,1,2,단독주택,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",단층,1983.07.28,none,none
