방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,방향,층,총 층,건축물 용도,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설
일반원룸고층,300,30,0,1,1,서울시 강북구 우이동 100-28,23.52평/4.53평(전용률19%),0원,가능,동향(거실 기준),중,3,단독주택,0,1,토마토부동산공인중개사사무소,"02-905-1356,010-7518-1356",단층,2009,"침대, 책상, 옷장, 냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ","비디오폰, 현관보안, "
일반원룸중층,300,45,0,1,1,서울시 강북구 우이동 72-66,5.74평/5.14평(전용률89%),0원,불가능,동향(거실 기준),3,3,단독주택,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",단층,2016.10.06,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, "
일반원룸,300,45,0,1,1,서울시 강북구 우이동 72-66,5.29평/5.14평(전용률97%),0원,불가능,동향(거실 기준),2,3,단독주택,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",단층,2016.10.06,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, "
다가구1층,"3,000",20,0,2,1,서울시 강북구 우이동 23-48,10.99평/10.99평(전용률100%),0원,불가능,남향(거실 기준),1,2,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,1990.11.24,none,none
다가구1층,"3,000",40,0,2,1,서울시 강북구 우이동 124-33,15.02평/15.02평(전용률100%),0원,불가능,북향(거실 기준),1,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,1996.09.19,"베란다, ",none
다가구1층,"3,000",40,0,2,1,서울시 강북구 우이동 20-3,18.31평/14.55평(전용률79%),0원,가능,남향(거실 기준),저,3,공동주택,0,1,"영광부동산공인중개사사무소
","02-993-1100,010-2135-6572",none,1995,none,none
일반원룸2층,500,34,0,1,1,서울시 강북구 우이동 72-17,5.44평/4.53평(전용률83%),5만원,불가능,동향(안방 기준),2,3,단독주택,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",단층,2017.04.24,"냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, "
일반원룸2층,500,34,0,1,1,서울시 강북구 우이동 56-45,4.87평/4.87평(전용률100%),3만원,불가능,서향(안방 기준),3,5,단독주택,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",none,2013,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 침대, 벽걸이에어컨, ","CCTV, 현관보안, "
빌라3층,300,25,0,1,1,서울시 강북구 우이동 124-42,1.88평/1.88평(전용률100%),0원,불가능,남향(거실 기준),고,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,1997.08.07,"베란다, ",none
다가구고층,300,25,0,1,1,서울시 강북구 우이동 100-28,5.13평/5.13평(전용률100%),5만원,불가능,남서향(거실 기준),2,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,-,"침대, 책상, 옷장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, CCTV, 현관보안, 방범창, 화재경보기, "
일반원룸2층,500,30,0,1,1,서울시 강북구 우이동 72-17,5평/5평(전용률100%),0원,불가능,서향(거실 기준),3,3,단독주택,0,1,번다공인중개사,"02-995-4300,010-4061-9123",단층,-,"벽걸이에어컨, ",none
일반원룸3층,500,39,0,1,1,서울시 강북구 우이동 100-35,23.06평/7.86평(전용률34%),3만원,가능,서향(안방 기준),중,3,단독주택,0,1,영신공인중개사사무소,02-990-7676,단층,-,none,none
일반원룸,500,29,0,1,1,서울시 강북구 우이동 61-19,9.07평/6.65평(전용률73%),5만원,가능,남향(안방 기준),3,4,단독주택,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",단층,none,none,none
단독,500,25,0,2,1,서울시 강북구 우이동,9.98평/9.98평(전용률100%),0원,불가능,남향(안방 기준),1,2,단독주택,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",단층,1983.07.28,none,none
단독,300,15,0,1,1,서울시 강북구 우이동,6.95평/6.95평(전용률100%),0원,불가능,남향(안방 기준),1,2,단독주택,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",단층,1978.12.02,none,none
다가구,200,20,0,1,1,서울시 강북구 우이동 144-1,9.35평/9.35평(전용률100%),0원,불가능,서향(거실 기준),B1,3,단독주택,0,1,대성공인중개사사무소,"02-990-4200,010-4058-6640",단층,1994.08.31,none,none
일반원룸,200,28,0,1,1,서울시 강북구 우이동 72-16,3.63평/3.63평(전용률100%),0원,불가능,동향(안방 기준),B1,4,단독주택,0,1,4.19공인중개사사무소,"02-998-4193,010-4919-9439",단층,2017.04.24,"신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","현관보안, "
마포현대하이엘 101동중층,1억,80,0,1,1,서울시 마포구 공덕동 111-207,6.49평/6.49평(전용률100%),5만원,불가능,서향(안방 기준),6,6,단독주택,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",단층,-,"신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ","카드키, 현관보안, 방범창, "
공덕시티하우스 1동7층,"1,000",65,0,1,1,서울시 마포구 공덕동,16.09평/7.86평(전용률49%),0원,불가능,동향(거실 기준),중,2,단독주택,0,1,1호공인중개사사무소,"02-2088-2918,010-9074-9947",단층,-,"옷장, 신발장, 냉장고, 세탁기, 가스레인지, ",none
공덕블레스하임3차 1동4층,"2,000",100,0,2,1,서울시 마포구 공덕동 113-2,8.29평/8.29평(전용률100%),0원,불가능,북서향(거실 기준),1,3,단독주택,0,1,이원공인중개사사무소,"02-703-4418,010-5309-0344",단층,1993.08.19,"싱크대, ",none
아르떼코리아제나우스 1동16층,"5,000",180,0,1,1,서울시 마포구 공덕동 117-1,11.5평/10.07평(전용률88%),5만원,가능,북동향(거실 기준),2,5,공동주택,0,1,"삼성공인중개사사무소
","02-713-8833,010-4111-3875",none,none,"현관보안, 베란다, ",none
공덕블레스하임3차 1동4층,"2,000",100,0,2,1,서울시 마포구 공덕동 5-33,11.6평/11.6평(전용률100%),0원,불가능,남서향(거실 기준),2,3,단독주택,0,1,삼성공인,"02-704-4288,010-5777-8022",단층,none,"샤워부스, 신발장, 싱크대, ","베란다, "
아르떼코리아제나우스 1동5층,5억,95,0,1,1,서울시 마포구 공덕동 106-29,9.07평/9.07평(전용률100%),3만원,불가능,남서향(안방 기준),B1,3,단독주택,0,1,이원공인중개사사무소,"02-703-4418,010-5309-0344",단층,1993.07.05,"신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ",none
연립고층,"6,000",50,0,1,1,서울시 마포구 공덕동 111-124,13.63평/13.26평(전용률97%),2만원,가능,남서향(거실 기준),고,1,단독주택,0,1,뉴타운부동산공인중개사사무소,02-980-8849,none,1985.06.05,"냉장고, 세탁기, 싱크대, 옷장, 신발장, 전자레인지, 인덕션레인지, ","현관보안, 인터폰, 방범창, "
연립고층,"6,000",50,0,1,1,서울시 마포구 공덕동 4-154,9.99평/9.99평(전용률100%),0원,불가능,북서향(안방 기준),1,3,단독주택,0,1,우리공인중개사사무소,"02-706-8877,010-7132-7782",단층,-,none,none
일반원룸1층,"1,000",100,0,2,1,서울시 마포구 공덕동 29-9,11.13평/9.99평(전용률90%),5만원,불가능,북동향(안방 기준),1,2,제2종 근린생활시설,0,1,주식회사집토스직영부동산중개법인(분사무소),"010-7234-3152,010-7234-3152",단층,1992.02.17,"냉장고, 세탁기, 인덕션레인지, ","현관보안, "
아르떼코리아제나우스 1동중층,500,45,0,1,1,서울시 마포구 공덕동 249-33,12.1평/9.98평(전용률83%),0원,불가능,남향(안방 기준),고,2,단독주택,0,1,창조투자부동산공인중개사사무소,"010-8363-0091,010-8363-0091",단층,-,"신발장, 냉장고, 세탁기, ",none
일반원룸,"1,000",60,0,1,1,서울시 마포구 공덕동 242-27,12.1평/10.18평(전용률84%),0원,불가능,남향(안방 기준),고,4,제2종 근린생활시설,0,1,창조투자부동산공인중개사사무소,"010-8363-0091,010-8363-0091",단층,-,"옷장, 신발장, 냉장고, 전자레인지, ",none
공덕블레스하임3차 1동4층,"2,000",100,0,1,1,서울시 마포구 공덕동 242-27,10.18평/10.18평(전용률100%),3만원,불가능,남서향(거실 기준),4,4,단독주택,0,1,공덕좋은날공인중개사사무소,"02-312-4000,010-9001-6330",단층,1997.09.30,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ",none
다가구,"2,000",40,0,2,1,서울시 마포구 공덕동 7-111,14.94평/7.56평(전용률51%),0원,불가능,남서향(안방 기준),1,2,단독주택,0,1,추진부동산공인중개사사무소,"02-717-5666,010-7720-9554",단층,1978.10.23,none,none
공덕시티하우스 1동13층,"1,500",85,0,2,1,서울시 마포구 공덕동,9.96평/9.96평(전용률100%),0원,불가능,남서향(거실 기준),1,1,단독주택,0,1,이원공인중개사사무소,"02-703-4418,010-5309-0344",단층,-,none,none
아르떼코리아제나우스 1동저층,"5,000",160,0,2,1,서울시 마포구 공덕동 111-303,10.66평/10.66평(전용률100%),0원,불가능,남동향(거실 기준),1,3,단독주택,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",단층,1993.08.30,none,none
빌라 블레스하임3차15층,"1,000",120,0,1,1,서울시 마포구 공덕동 111-106,11.19평/7.19평(전용률64%),6만원,가능,남동향(거실 기준),15,1,공동주택,0,1,"주식회사 여의도부동산중개법인
","02-848-4489,010-8324-3801",none,2022.04.05,"건조기, 냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 인덕션레인지, 천장에어컨, ","경비원, 방범창, 비디오폰, 사설경비, 인터폰, 카드키, 현관보안, CCTV, 무인택배함, 엘리베이터, 화재경보기, "
빌라 블레스하임3차15층,"1,000",120,0,2,1,서울시 마포구 공덕동,9.89평/9.89평(전용률100%),0원,불가능,남향(안방 기준),4,4,단독주택,0,1,팔복(단지내상가)공인중개사사무소,"02-706-9095,010-3959-1109",단층,1992.09.15,"신발장, 냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none
공덕블레스하임3차 1동중층,500,65,0,1,1,서울시 마포구 공덕동 29-9,6.98평/6.98평(전용률100%),0.3만원,불가능,동향(안방 기준),고,2,미등기건물,0,1,추진부동산공인중개사사무소,"02-717-5666,010-7720-5664",단층,1992.02.17,"냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ","현관보안, "
일반원룸고층,500,65,0,2,1,서울시 마포구 공덕동 4-124,13.25평/13.25평(전용률100%),0원,불가능,동향(안방 기준),B1,3,단독주택,0,1,OK공인중개사사무소,"02-3273-5777,010-5023-6844",단층,1997.01.01,none,none
일반원룸,"1,000",60,0,1,1,서울시 마포구 공덕동 242-27,10.18평/10.18평(전용률100%),3만원,불가능,남향(거실 기준),4,4,공동주택,0,1,제일좋은공인중개사사무소,"02-701-4988,010-3384-2086",단층,1997.09.30,"붙박이장, 냉장고, 세탁기, 인덕션레인지, ",none
다가구,"1억 2,000",20,0,2,1,서울시 마포구 공덕동 5-33,11.6평/11.6평(전용률100%),0원,불가능,남서향(거실 기준),2,3,단독주택,0,1,삼성공인중개사사무소,"02-704-4288,010-5777-8022",단층,none,none,none
다가구,500,35,0,1,1,서울시 마포구 공덕동 12-4,12.74평/12.74평(전용률100%),0원,불가능,남서향(거실 기준),1,4,공동주택,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",단층,1999.09.04,none,none
다가구4층,"5,000",50,0,2,1,서울시 마포구 공덕동 3-41,13.47평/13.47평(전용률100%),8만원,불가능,남향(거실 기준),4,6,공동주택,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",단층,2000.12.01,none,none
다가구4층,"5,000",50,0,1,1,서울시 마포구 공덕동 117-1,11.5평/10.07평(전용률88%),0원,불가능,북동향(거실 기준),2,4,공동주택,0,1,펜트라삼성(713-8833)공인중개사 사무소,"02-713-8833,010-9956-5556",none,2007.03.05,"현관보안, 베란다, ",none
대성힐스 1동6층,"1,000",55,0,2,1,서울시 마포구 공덕동 11-139,6.02평/6.02평(전용률100%),0원,불가능,서향(거실 기준),2,4,단독주택,0,1,조은공인중개사사무소,"02-701-5002,010-9453-8113",단층,1996.01.12,none,none
일반원룸,500,35,0,1,-,서울시 마포구 공덕동 242-88,5.44평/5.44평(전용률100%),0원,불가능,동향(안방 기준),1,2,단독주택,0,1,"강남공인중개사사무소
","02-707-1755,010-3369-5222",단층,2013.05.03,none,none
다가구,"4,000",50,0,2,1,서울시 마포구 공덕동 11-250,12.61평/12.61평(전용률100%),0원,불가능,남동향(거실 기준),2,3,단독주택,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",단층,1991.02.01,none,none
다가구,500,40,0,1,1,서울시 마포구 공덕동 11-139,6.02평/6.02평(전용률100%),0원,불가능,북동향(거실 기준),2,3,단독주택,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",단층,1996.01.12,none,none
일반원룸 원룸2층,"4,000",60,0,1,1,서울시 마포구 대흥동 328-27,8.17평/8.17평(전용률100%),5만원,가능,남동향(거실 기준),2,3,단독주택,0,1,리버웰삼성공인,"02-717-0071,010-8144-2772",단층,2021,none,none
이대역푸르지오시티 1동중층,"1,000",80,0,1,1,서울시 마포구 대흥동 2-32,7.49평/5.74평(전용률77%),5만원,불가능,남동향(거실 기준),1,3,단독주택,0,1,성일공인중개사사무소,02-393-0015,단층,1992.12,"침대, 냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ",none
다가구1층,500,40,0,1,1,서울시 마포구 대흥동 166,8.16평/8.16평(전용률100%),5만원,가능,남향(거실 기준),4,4,공동주택,0,1,한화공인중개사사무소,"02-712-4644,010-9340-4944",단층,2003.01.17,none,none
다가구4층,500,45,0,1,1,서울시 마포구 대흥동 25-13,2.83평/2.83평(전용률100%),5만원,불가능,서향(안방 기준),1,6,공동주택,0,1,으뜸공인중개사사무소,"02-712-4824,010-8855-4656",단층,2002.12.16,"냉장고, 세탁기, 싱크대, 인덕션레인지, 벽걸이에어컨, ",none
오피스텔1층,500,50,0,2,1,서울시 마포구 대흥동,12.1평/12.1평(전용률100%),0원,불가능,남향(안방 기준),B1,2,단독주택,0,1,경기공인,"02-717-7750,010-5412-7781",단층,1993.11.04,none,none
단독B1층,"1,000",50,0,1,1,서울시 마포구 대흥동 2-32,8.15평/6.05평(전용률74%),5만원,불가능,동향(거실 기준),B1,3,단독주택,0,1,단지앞성일공인중개사사무소,"02-312-5454,010-9158-0797",단층,1992.12.23,"침대, 책상, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ",none
다가구B1층,500,40,0,1,1,서울시 마포구 대흥동 2-32,8.15평/5.14평(전용률63%),5만원,불가능,동향(거실 기준),1,3,단독주택,0,1,단지앞성일공인중개사사무소,"02-312-5454,010-9158-0797",none,1992.12.23,"침대, 붙박이장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 천장에어컨, ",none
상가주택저층,500,45,0,1,1,서울시 마포구 대흥동,6.24평/6.05평(전용률97%),0원,불가능,남향(안방 기준),고,1,단독주택,0,1,이대자이랜드(3274-1999)공인중개사사무소,"02-3274-1999,010-8595-0555",단층,1985.06.12,"신발장, 냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ","인터폰, "
다가구,500,40,0,2,1,서울시 마포구 대흥동 325-30,10.58평/10.58평(전용률100%),0원,불가능,남향(안방 기준),3,4,단독주택,0,1,성원부동산공인중개사사무소,"02-715-7989,010-5590-8986",단층,1993.12.16,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none
빌라,"3,000",120,0,2,1,서울시 마포구 대흥동 551-1,11.19평/9.05평(전용률81%),0원,불가능,북동향(거실 기준),고,5,공동주택,0,1,sk온(701-3113)공인중개사사무소,"02-701-3113,010-9484-3247",none,2020.06,none,none
일반원룸 다가구B1층,500,35,0,1,1,서울시 마포구 대흥동 18-57,7.35평/7.26평(전용률99%),2만원,불가능,서향(안방 기준),B1,4,단독주택,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",단층,1987.02.25,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none
일반원룸 다가구B1층,500,35,0,1,1,서울시 마포구 대흥동 18-57,6.74평/6.65평(전용률99%),2만원,불가능,남향(안방 기준),B1,4,단독주택,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",단층,1987.02.25,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none
일반원룸 다가구B1층,500,35,0,1,1,서울시 마포구 대흥동 18-57,6.99평/6.95평(전용률99%),2만원,불가능,서향(안방 기준),B1,4,단독주택,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",단층,-,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","카드키, "
일반원룸B1층,500,30,0,1,1,서울시 마포구 대흥동 18-57,5.23평/5.14평(전용률98%),2만원,불가능,남향(안방 기준),B1,4,단독주택,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",단층,1987.02.25,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none
일반원룸 다가구B1층,300,30,0,1,1,서울시 마포구 대흥동 22-98,5.89평/5.89평(전용률100%),0원,불가능,남향(안방 기준),고,4,단독주택,0,1,자이플러스공인중개사사무소,"02-704-0002,010-9936-0169",단층,-,"냉장고, 세탁기, 가스레인지, 전자레인지, 벽걸이에어컨, ","현관보안, "
다가구고층,400,40,0,1,1,서울시 마포구 대흥동,11.96평/6.65평(전용률56%),0원,불가능,남향(안방 기준),3,3,단독주택,0,1,자이플러스공인중개사사무소,"010-8957-5114,010-9936-0169",단층,-,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ",none
단독3층,500,35,0,2,1,서울시 마포구 대흥동 18-48,20.99평/10.28평(전용률49%),0원,불가능,남향(안방 기준),1,2,단독주택,0,1,자이플러스공인중개사사무소,"02-704-0002,010-9936-0169",단층,-,"세탁기, 벽걸이에어컨, ",none
다가구1층,"4,000",50,0,1,1,서울시 마포구 대흥동 324-4,8.47평/7.26평(전용률86%),0원,가능,북동향(안방 기준),1,3,단독주택,0,1,성원부동산공인중개사사무소,"02-715-7989,010-5590-8986",단층,1997.06.13,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none
일반원룸1층,500,45,0,1,1,서울시 마포구 대흥동 50-10,7.47평/7.47평(전용률100%),5만원,가능,서향(거실 기준),중,7,단독주택,0,1,집스부동산중개주식회사(Zeeps),"02-1661-1505,010-7654-1635",단층,2003.11.19,"가스레인지, 냉장고, 세탁기, 싱크대, 벽걸이에어컨, ","현관보안, 엘리베이터, "
일반원룸중층,"4,000",50,0,1,1,서울시 마포구 대흥동,12.14평/6.99평(전용률58%),4만원,불가능,남서향(안방 기준),1,4,단독주택,0,1,집스부동산중개주식회사(Zeeps),"02-1661-1505,010-7654-1635",단층,2017.10.12,"냉장고, 세탁기, 식탁, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ",none
단독1층,"1,000",65,0,1,1,서울시 마포구 대흥동 18-13,5.98평/5.98평(전용률100%),3만원,불가능,남향(안방 기준),1,4,단독주택,0,1,으뜸공인중개사사무소,"02-712-4824,010-8855-4656",단층,1986.08.06,"냉장고, 세탁기, 싱크대, 인덕션레인지, 벽걸이에어컨, ",none
일반원룸1층,500,45,0,2,1,서울시 마포구 대흥동,10.4평/10.28평(전용률99%),0원,불가능,동향(안방 기준),중,2,단독주택,0,1,이대자이랜드(3274-1999)공인중개사사무소,"02-3274-1999,010-8595-0555",단층,1993.06.08,"신발장, 냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ","인터폰, 화재경보기, "
일반원룸B1층,500,35,0,1,1,서울시 마포구 대흥동 22-35,8.47평/7.56평(전용률89%),5만원,불가능,남동향(안방 기준),B1,3,단독주택,0,1,OK공인중개사사무소,"02-703-0010,010-9920-1481",단층,1995.05.10,"침대, 책상, 붙박이장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 스탠드에어컨, ","카드키, "
일반원룸B1층,500,35,0,1,1,서울시 마포구 대흥동 166,8.16평/8.16평(전용률100%),5만원,가능,남향(거실 기준),4,4,공동주택,0,1,하나공인중개사사무소,"02-712-4944,010-5023-8844",단층,2003.01.17,none,none
일반원룸,"1,000",50,0,1,1,서울시 마포구 대흥동 441-3,8.16평/8.16평(전용률100%),5만원,불가능,남동향(거실 기준),5,5,공동주택,0,1,마포태영(02-707-1230) 공인중개사사무소,"02-707-1230,010-5357-3999",단층,2002.12.19,"신발장, 냉장고, 세탁기, 싱크대, 벽걸이에어컨, ","현관보안, 엘리베이터, "
다가구,"1,000",70,0,2,1,서울시 마포구 대흥동 235-1,13.03평/12.42평(전용률95%),0원,불가능,북서향(거실 기준),2,2,단독주택,0,1,이도공인중개사사무소,"02-711-2459,010-9461-7225",단층,1993.08.07,none,none
다가구,"4,000",50,0,2,1,서울시 마포구 대흥동 18-48,10.49평/10.49평(전용률100%),0원,불가능,남향(거실 기준),1,2,단독주택,0,1,"황금자이공인중개사사무소
","02-711-9888,010-4569-8949",단층,-,"세탁기, 벽걸이에어컨, ",none
다가구 다가구1층,"5,000",45,0,2,1,서울시 마포구 대흥동 18-48,10.13평/9.98평(전용률99%),0원,불가능,남향(안방 기준),1,2,단독주택,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",단층,-,"세탁기, 가스레인지, 벽걸이에어컨, ",none
