방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,층,총 층,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설,방향_동,방향_서,방향_남,방향_북,건축물 용도_공동주택,건축물 용도_그 밖에 토지의 정착물,건축물 용도_단독주택,건축물 용도_미등기건물,건축물 용도_숙박시설,건축물 용도_업무시설,건축물 용도_제1종 근린생활시설,건축물 용도_제2종 근린생활시설,주소좌표,대형마트,편의점,지하철역
빌라2층,500,40,0,1,1,서울시 강북구 우이동 72-66,1.51,4.0,0,1,3,0,1,하나공인중개사사무소,"02-996-1133,010-5471-8085",0,2016,none,none,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,"['127.014034073037', '37.6495472230822']",583.0,28.0,29.0
일반원룸1층,300,45,0,2,1,서울시 강북구 우이동 23-38,13.11,4.0,1,-1,3,0,1,코끼리공인중개사사무소,"02-992-8989,010-7688-0754",0,1996,"사설경비, 베란다, ",none,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,"['127.013096249239', '37.6597537502758']",249.0,144.0,348.0
빌라B1층,1000,45,0,1,1,서울시 강북구 우이동,5.88,5.0,0,1,3,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",0,2009,none,none,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0,"['127.001890452891', '37.6630390800114']",1223.0,400.0,958.0
단독1층,500,30,0,1,1,서울시 강북구 우이동,5.88,5.0,0,1,3,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",0,2009,"가스레인지, 신발장, 침대, 벽걸이에어컨, ",none,0.5,0.0,0.5,0.0,0,0,1,0,0,0,0,0,"['127.001890452891', '37.6630390800114']",1223.0,400.0,958.0
단독1층,500,30,0,1,1,서울시 강북구 우이동 56-45,4.95,5.0,0,2,5,0,1,신하나공인중개사사무소,010-6342-4597,0,2012,"냉장고, 신발장, 싱크대, 옷장, 책상, 벽걸이에어컨, ","CCTV, 현관보안, ",1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,"['127.012967945265', '37.6564228342577']",158.0,112.0,55.0
일반원룸2층,500,38,0,1,1,서울시 강북구 우이동 72-157,6.35,6.0,0,2,4,0,1,신하나공인중개사사무소,010-6342-4597,0,2019,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 벽걸이에어컨, ",none,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,"['127.01295088499', '37.6501973162387']",703.0,92.0,99.0
일반원룸2층,500,50,0,1,1,서울시 강북구 우이동 100-57,3.81,4.0,0,3,5,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",0,2012,none,none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.011811179706', '37.6547235229072']",372.0,21.0,189.0
일반원룸3층,300,30,0,1,1,서울시 강북구 우이동 100-57,3.81,4.0,0,5,5,0,1,대우공인중개사사무소,"02-997-1881,02-997-1881",0,2012,"가스레인지, 냉장고, 신발장, 싱크대, 전자레인지, 침대, 벽걸이에어컨, ",none,0.5,0.0,0.5,0.0,0,0,1,0,0,0,0,0,"['127.011811179706', '37.6547235229072']",372.0,21.0,189.0
일반원룸고층,300,30,0,1,1,서울시 강북구 우이동 100-28,4.53,4.0,1,2,3,0,1,토마토부동산공인중개사사무소,"02-905-1356,010-7518-1356",0,2009,"침대, 책상, 옷장, 냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ","비디오폰, 현관보안, ",1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.011942860663', '37.6547149503161']",367.0,30.0,182.0
일반원룸중층,300,45,0,1,1,서울시 강북구 우이동 72-66,5.14,4.0,0,3,3,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",0,2016,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, ",1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.014034073037', '37.6495472230822']",583.0,28.0,29.0
일반원룸,300,45,0,1,1,서울시 강북구 우이동 72-66,5.14,4.0,0,2,3,0,1,수유역공인중개사사무소,"02-996-7900,010-5250-8779",0,2016,"냉장고, 세탁기, 신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, ",1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.014034073037', '37.6495472230822']",583.0,28.0,29.0
다가구1층,3000,20,0,2,1,서울시 강북구 우이동 23-48,10.99,4.0,0,1,2,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,1990,none,none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.012806220449', '37.6596753967128']",250.0,157.0,356.0
다가구1층,3000,40,0,2,1,서울시 강북구 우이동 124-33,15.02,4.0,0,1,3,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,1996,"베란다, ",none,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,"['127.011031854343', '37.6585725040152']",279.0,117.0,349.0
다가구1층,3000,40,0,2,1,서울시 강북구 우이동 20-3,14.55,4.0,1,1,3,0,1,"영광부동산공인중개사사무소
","02-993-1100,010-2135-6572",0,1995,none,none,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,"['127.01241168427', '37.6615397498963']",456.0,91.0,152.0
일반원룸2층,500,34,0,1,1,서울시 강북구 우이동 72-17,4.53,5.0,0,2,3,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",0,2017,"냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, ",1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.013976160858', '37.6501107949446']",626.0,90.0,68.0
일반원룸2층,500,34,0,1,1,서울시 강북구 우이동 56-45,4.87,3.0,0,3,5,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",0,2013,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 침대, 벽걸이에어컨, ","CCTV, 현관보안, ",0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.012967945265', '37.6564228342577']",158.0,112.0,55.0
빌라3층,300,25,0,1,1,서울시 강북구 우이동 124-42,1.88,4.0,0,3,3,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,1997,"베란다, ",none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.011467229653', '37.6583290171925']",233.0,70.0,305.0
다가구고층,300,25,0,1,1,서울시 강북구 우이동 100-28,5.13,5.0,0,2,3,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,1809,"침대, 책상, 옷장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 벽걸이에어컨, ","인터폰, CCTV, 현관보안, 방범창, 화재경보기, ",0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['127.011942860663', '37.6547149503161']",367.0,30.0,182.0
일반원룸2층,500,30,0,1,1,서울시 강북구 우이동 72-17,5.0,4.0,0,3,3,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,1809,"벽걸이에어컨, ",none,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.013976160858', '37.6501107949446']",626.0,90.0,68.0
일반원룸3층,500,39,0,1,1,서울시 강북구 우이동 100-35,7.86,3.0,1,2,3,0,1,영신공인중개사사무소,02-990-7676,0,1809,none,none,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.012064377211', '37.6542208391567']",412.0,55.0,222.0
일반원룸,500,29,0,1,1,서울시 강북구 우이동 61-19,6.65,5.0,1,3,4,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",0,1809,none,none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.012187609874', '37.6559162050573']",244.0,155.0,95.0
단독,500,25,0,2,1,서울시 강북구 우이동,9.98,4.0,0,1,2,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",0,1983,none,none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.001890452891', '37.6630390800114']",1223.0,400.0,958.0
단독,300,15,0,1,1,서울시 강북구 우이동,6.95,4.0,0,1,2,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",0,1978,none,none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['127.001890452891', '37.6630390800114']",1223.0,400.0,958.0
다가구,200,20,0,1,1,서울시 강북구 우이동 144-1,9.35,4.0,0,-1,3,0,1,대성공인중개사사무소,"02-990-4200,010-4058-6640",0,1994,none,none,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.011315023751', '37.6597922263043']",336.0,212.0,366.0
일반원룸,200,28,0,1,1,서울시 강북구 우이동 72-16,3.63,4.0,0,-1,4,0,1,4.19공인중개사사무소,"02-998-4193,010-4919-9439",0,2017,"신발장, 싱크대, 인덕션레인지, 벽걸이에어컨, ","현관보안, ",1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['127.013943198625', '37.6501801745472']",633.0,98.0,75.0
마포현대하이엘 101동중층,1,80,0,1,1,서울시 마포구 공덕동 111-207,6.49,5.0,0,6,6,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",0,1809,"신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ","카드키, 현관보안, 방범창, ",0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.958817097168', '37.5482921936104']",789.0,93.0,599.0
공덕시티하우스 1동7층,1000,65,0,1,1,서울시 마포구 공덕동,7.86,4.0,0,0,2,0,1,1호공인중개사사무소,"02-2088-2918,010-9074-9947",0,1809,"옷장, 신발장, 냉장고, 세탁기, 가스레인지, ",none,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.960034513244', '37.550174347382']",645.0,29.0,466.0
공덕블레스하임3차 1동4층,2000,100,0,2,1,서울시 마포구 공덕동 113-2,8.29,4.0,0,1,3,0,1,이원공인중개사사무소,"02-703-4418,010-5309-0344",0,1993,"싱크대, ",none,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0,"['126.958021858047', '37.5481724411509']",737.0,102.0,593.0
아르떼코리아제나우스 1동16층,5000,180,0,1,1,서울시 마포구 공덕동 117-1,10.07,5.0,1,2,5,0,1,"삼성공인중개사사무소
","02-713-8833,010-4111-3875",0,1809,"현관보안, 베란다, ",none,0.5,0.0,0.0,0.5,1,0,0,0,0,0,0,0,"['126.957377220284', '37.5480878767411']",683.0,48.0,594.0
공덕블레스하임3차 1동4층,2000,100,0,2,1,서울시 마포구 공덕동 5-33,11.6,4.0,0,2,3,0,1,삼성공인,"02-704-4288,010-5777-8022",0,1809,"샤워부스, 신발장, 싱크대, ","베란다, ",0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['126.962443308118', '37.5504863429477']",482.0,114.0,604.0
아르떼코리아제나우스 1동5층,5,95,0,1,1,서울시 마포구 공덕동 106-29,9.07,3.0,0,-1,3,0,1,이원공인중개사사무소,"02-703-4418,010-5309-0344",0,1993,"신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ",none,0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['126.960839909796', '37.5482303524723']",770.0,100.0,683.0
연립고층,6000,50,0,1,1,서울시 마포구 공덕동 111-124,13.26,2.0,1,1,1,0,1,뉴타운부동산공인중개사사무소,02-980-8849,0,1985,"냉장고, 세탁기, 싱크대, 옷장, 신발장, 전자레인지, 인덕션레인지, ","현관보안, 인터폰, 방범창, ",0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['126.95963960544', '37.5463235248638']",676.0,115.0,746.0
연립고층,6000,50,0,1,1,서울시 마포구 공덕동 4-154,9.99,4.0,0,1,3,0,1,우리공인중개사사무소,"02-706-8877,010-7132-7782",0,1809,none,none,0.0,0.5,0.0,0.5,0,0,1,0,0,0,0,0,"['126.961254687006', '37.5501267308504']",575.0,80.0,545.0
일반원룸1층,1000,100,0,2,1,서울시 마포구 공덕동 29-9,9.99,5.0,0,1,2,0,1,주식회사집토스직영부동산중개법인(분사무소),"010-7234-3152,010-7234-3152",0,1992,"냉장고, 세탁기, 인덕션레인지, ","현관보안, ",0.5,0.0,0.0,0.5,0,0,0,0,0,0,0,1,"['126.960142453723', '37.5499980584783']",651.0,19.0,487.0
아르떼코리아제나우스 1동중층,500,45,0,1,1,서울시 마포구 공덕동 249-33,9.98,4.0,0,2,2,0,1,창조투자부동산공인중개사사무소,"010-8363-0091,010-8363-0091",0,1809,"신발장, 냉장고, 세탁기, ",none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['126.954387357383', '37.5464227049274']",363.0,50.0,333.0
일반원룸,1000,60,0,1,1,서울시 마포구 공덕동 242-27,10.18,4.0,0,4,4,0,1,창조투자부동산공인중개사사무소,"010-8363-0091,010-8363-0091",0,1809,"옷장, 신발장, 냉장고, 전자레인지, ",none,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,"['126.954570485884', '37.546363219493']",375.0,67.0,341.0
공덕블레스하임3차 1동4층,2000,100,0,1,1,서울시 마포구 공덕동 242-27,10.18,3.0,0,4,4,0,1,공덕좋은날공인중개사사무소,"02-312-4000,010-9001-6330",0,1997,"냉장고, 세탁기, 싱크대, 가스레인지, 벽걸이에어컨, ",none,0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['126.954570485884', '37.546363219493']",375.0,67.0,341.0
다가구,2000,40,0,2,1,서울시 마포구 공덕동 7-111,7.56,4.0,0,1,2,0,1,추진부동산공인중개사사무소,"02-717-5666,010-7720-9554",0,1978,none,none,0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['126.962436337769', '37.5497183296834']",557.0,93.0,654.0
공덕시티하우스 1동13층,1500,85,0,2,1,서울시 마포구 공덕동,9.96,4.0,0,1,1,0,1,이원공인중개사사무소,"02-703-4418,010-5309-0344",0,1809,none,none,0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['126.960034513244', '37.550174347382']",645.0,29.0,466.0
아르떼코리아제나우스 1동저층,5000,160,0,2,1,서울시 마포구 공덕동 111-303,10.66,4.0,0,1,3,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",0,1993,none,none,0.5,0.0,0.5,0.0,0,0,1,0,0,0,0,0,"['126.960338732681', '37.5473395479229']",796.0,82.0,748.0
빌라 블레스하임3차15층,1000,120,0,1,1,서울시 마포구 공덕동 111-106,7.19,6.0,1,15,1,0,1,"주식회사 여의도부동산중개법인
","02-848-4489,010-8324-3801",0,2022,"건조기, 냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 인덕션레인지, 천장에어컨, ","경비원, 방범창, 비디오폰, 사설경비, 인터폰, 카드키, 현관보안, CCTV, 무인택배함, 엘리베이터, 화재경보기, ",0.5,0.0,0.5,0.0,1,0,0,0,0,0,0,0,"['126.959334451064', '37.5481302832499']",801.0,66.0,631.0
빌라 블레스하임3차15층,1000,120,0,2,1,서울시 마포구 공덕동,9.89,4.0,0,4,4,0,1,팔복(단지내상가)공인중개사사무소,"02-706-9095,010-3959-1109",0,1992,"신발장, 냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['126.960034513244', '37.550174347382']",645.0,29.0,466.0
공덕블레스하임3차 1동중층,500,65,0,1,1,서울시 마포구 공덕동 29-9,6.98,0.3,0,2,2,0,1,추진부동산공인중개사사무소,"02-717-5666,010-7720-5664",0,1992,"냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ","현관보안, ",1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,"['126.960142453723', '37.5499980584783']",651.0,19.0,487.0
일반원룸고층,500,65,0,2,1,서울시 마포구 공덕동 4-124,13.25,4.0,0,-1,3,0,1,OK공인중개사사무소,"02-3273-5777,010-5023-6844",0,1997,none,none,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.961468214358', '37.550376827775']",542.0,104.0,541.0
일반원룸,1000,60,0,1,1,서울시 마포구 공덕동 242-27,10.18,3.0,0,4,4,0,1,제일좋은공인중개사사무소,"02-701-4988,010-3384-2086",0,1997,"붙박이장, 냉장고, 세탁기, 인덕션레인지, ",none,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,"['126.954570485884', '37.546363219493']",375.0,67.0,341.0
다가구,12000,20,0,2,1,서울시 마포구 공덕동 5-33,11.6,4.0,0,2,3,0,1,삼성공인중개사사무소,"02-704-4288,010-5777-8022",0,1809,none,none,0.0,0.5,0.5,0.0,0,0,1,0,0,0,0,0,"['126.962443308118', '37.5504863429477']",482.0,114.0,604.0
다가구,500,35,0,1,1,서울시 마포구 공덕동 12-4,12.74,4.0,0,1,4,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",0,1999,none,none,0.0,0.5,0.5,0.0,1,0,0,0,0,0,0,0,"['126.960971413272', '37.5495158507089']",645.0,83.0,575.0
다가구4층,5000,50,0,2,1,서울시 마포구 공덕동 3-41,13.47,8.0,0,4,6,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",0,2000,none,none,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,"['126.961176216494', '37.5502172554147']",572.0,74.0,533.0
다가구4층,5000,50,0,1,1,서울시 마포구 공덕동 117-1,10.07,4.0,0,2,4,0,1,펜트라삼성(713-8833)공인중개사 사무소,"02-713-8833,010-9956-5556",0,2007,"현관보안, 베란다, ",none,0.5,0.0,0.0,0.5,1,0,0,0,0,0,0,0,"['126.957377220284', '37.5480878767411']",683.0,48.0,594.0
대성힐스 1동6층,1000,55,0,2,1,서울시 마포구 공덕동 11-139,6.02,4.0,0,2,4,0,1,조은공인중개사사무소,"02-701-5002,010-9453-8113",0,1996,none,none,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.961516887094', '37.5494740432139']",621.0,122.0,611.0
일반원룸,500,35,0,1,1,서울시 마포구 공덕동 242-88,5.44,4.0,0,1,2,0,1,"강남공인중개사사무소
","02-707-1755,010-3369-5222",0,2013,none,none,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.955182626363', '37.5460737822397']",416.0,71.0,371.0
다가구,4000,50,0,2,1,서울시 마포구 공덕동 11-250,12.61,4.0,0,2,3,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",0,1991,none,none,0.5,0.0,0.5,0.0,0,0,1,0,0,0,0,0,"['126.96138728448', '37.5477761590746']",791.0,167.0,752.0
다가구,500,40,0,1,1,서울시 마포구 공덕동 11-139,6.02,4.0,0,2,3,0,1,신공덕공인중개사사무소,"02-711-4261,010-2355-4261",0,1996,none,none,0.5,0.0,0.0,0.5,0,0,1,0,0,0,0,0,"['126.961516887094', '37.5494740432139']",621.0,122.0,611.0
일반원룸 원룸2층,4000,60,0,1,1,서울시 마포구 대흥동 328-27,8.17,5.0,1,2,3,0,1,리버웰삼성공인,"02-717-0071,010-8144-2772",0,2021,none,none,0.5,0.0,0.5,0.0,0,0,1,0,0,0,0,0,"['126.94114919908', '37.5460639279684']",105.0,120.0,211.0
이대역푸르지오시티 1동중층,1000,80,0,1,1,서울시 마포구 대흥동 2-32,5.74,5.0,0,1,3,0,1,성일공인중개사사무소,02-393-0015,0,1992,"침대, 냉장고, 세탁기, 인덕션레인지, 벽걸이에어컨, ",none,0.5,0.0,0.5,0.0,0,0,1,0,0,0,0,0,"['126.946321190732', '37.5554586685079']",369.0,56.0,150.0
다가구1층,500,40,0,1,1,서울시 마포구 대흥동 166,8.16,5.0,1,4,4,0,1,한화공인중개사사무소,"02-712-4644,010-9340-4944",0,2003,none,none,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,"['126.942732524157', '37.5482799020968']",383.0,69.0,73.0
다가구4층,500,45,0,1,1,서울시 마포구 대흥동 25-13,2.83,5.0,0,1,6,0,1,으뜸공인중개사사무소,"02-712-4824,010-8855-4656",0,2002,"냉장고, 세탁기, 싱크대, 인덕션레인지, 벽걸이에어컨, ",none,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,"['126.94409795672', '37.5512919633724']",272.0,96.0,429.0
오피스텔1층,500,50,0,2,1,서울시 마포구 대흥동,12.1,4.0,0,-1,2,0,1,경기공인,"02-717-7750,010-5412-7781",0,1993,none,none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['126.943403941965', '37.5498936438387']",404.0,45.0,262.0
단독B1층,1000,50,0,1,1,서울시 마포구 대흥동 2-32,6.05,5.0,0,-1,3,0,1,단지앞성일공인중개사사무소,"02-312-5454,010-9158-0797",0,1992,"침대, 책상, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 벽걸이에어컨, ",none,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.946321190732', '37.5554586685079']",369.0,56.0,150.0
다가구B1층,500,40,0,1,1,서울시 마포구 대흥동 2-32,5.14,5.0,0,1,3,0,1,단지앞성일공인중개사사무소,"02-312-5454,010-9158-0797",0,1992,"침대, 붙박이장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션레인지, 전자레인지, 천장에어컨, ",none,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.946321190732', '37.5554586685079']",369.0,56.0,150.0
상가주택저층,500,45,0,1,1,서울시 마포구 대흥동,6.05,4.0,0,1,1,0,1,이대자이랜드(3274-1999)공인중개사사무소,"02-3274-1999,010-8595-0555",0,1985,"신발장, 냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ","인터폰, ",0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['126.943403941965', '37.5498936438387']",404.0,45.0,262.0
다가구,500,40,0,2,1,서울시 마포구 대흥동 325-30,10.58,4.0,0,3,4,0,1,성원부동산공인중개사사무소,"02-715-7989,010-5590-8986",0,1993,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['126.94113915403', '37.5467503039273']",165.0,97.0,154.0
빌라,3000,120,0,2,1,서울시 마포구 대흥동 551-1,9.05,4.0,0,5,5,0,1,sk온(701-3113)공인중개사사무소,"02-701-3113,010-9484-3247",0,2020,none,none,0.5,0.0,0.0,0.5,1,0,0,0,0,0,0,0,"['126.943944847893', '37.5438789236852']",370.0,77.0,438.0
일반원룸 다가구B1층,500,35,0,1,1,서울시 마포구 대흥동 18-57,7.26,2.0,0,-1,4,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",0,1987,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,"['126.944488180141', '37.5544645611804']",336.0,89.0,312.0
일반원룸 다가구B1층,500,35,0,1,1,서울시 마포구 대흥동 18-57,6.65,2.0,0,-1,4,0,1,이대명품공인중개사사무소,"02-711-8864,010-4018-0093",0,1987,"냉장고, 세탁기, 가스레인지, 벽걸이에어컨, ",none,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,"['126.944488180141', '37.5544645611804']",336.0,89.0,312.0
