방이름,보증금,월세,전세,방 수,욕실 수,주소,평 수,관리비,주차 여부,층,총 층,전세여부,월세여부,부동산 이름,부동산 전화번호,복층 여부,사용승인일,내부시설,기타시설,방향_동,방향_서,방향_남,방향_북,건축물 용도_공동주택,건축물 용도_단독주택,건축물 용도_제2종 근린생활시설,주소좌표,대형마트,편의점,지하철역
일반원룸1층,300,40,0,1,1,서울시 강북구 우이동 72-66,5.14,5.0,0,1,3,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",0,2016,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 전자레인지, 책상, 침대, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, 화재경보기, ",0.0,1.0,0.0,0.0,0,1,0,"['127.014034073037', '37.6495472230822']",583,28,29
일반원룸1층,300,40,0,1,1,서울시 강북구 우이동,5.88,5.0,0,1,3,0,1,대우공인중개사사무소,"02-997-1881,010-3528-1881",0,2009,"가스레인지, 신발장, 침대, 벽걸이에어컨, ",none,0.5,0.0,0.5,0.0,0,1,0,"['127.001890452891', '37.6630390800114']",1223,400,958
단독1층,500,30,0,1,1,서울시 강북구 우이동 56-45,4.95,5.0,0,2,5,0,1,신하나공인중개사사무소,010-6342-4597,0,2012,"냉장고, 신발장, 싱크대, 옷장, 책상, 벽걸이에어컨, ",none,1.0,0.0,0.0,0.0,1,0,0,"['127.012967945265', '37.6564228342577']",158,112,55
일반원룸2층,500,38,0,1,1,서울시 강북구 우이동 72-66,5.74,5.0,0,1,3,0,1,신하나공인중개사사무소,010-6342-4597,0,2016,"냉장고, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 책상, 벽걸이에어컨, ",none,1.0,0.0,0.0,0.0,0,1,0,"['127.014034073037', '37.6495472230822']",583,28,29
빌라2층,3000,50,0,2,1,서울시 강북구 우이동 94-7,9.77,2.0,1,2,3,0,1,번다공인중개사,"02-995-4300,010-4061-9123",0,1992,none,none,0.0,1.0,0.0,0.0,1,0,0,"['127.011171297323', '37.6535942937328']",509,117,323
빌라2층,3000,50,0,1,1,서울시 강북구 우이동,4.23,3.0,0,2,4,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",0,2011,none,none,0.0,0.0,1.0,0.0,0,1,0,"['127.001890452891', '37.6630390800114']",1223,400,958
단독2층,500,30,0,1,1,서울시 강북구 우이동 72-17,4.53,5.0,0,2,3,0,1,다온공인중개사사무소,"02-903-8504,010-3341-8504",0,2017,"냉장고, 붙박이장, 세탁기, 신발장, 싱크대, 옷장, 인덕션레인지, 전자레인지, 책상, 벽걸이에어컨, ","비디오폰, 현관보안, CCTV, ",1.0,0.0,0.0,0.0,0,1,0,"['127.013976160858', '37.6501107949446']",626,90,68
일반원룸고층,300,30,0,1,1,서울시 강북구 우이동 100-57,3.81,2.0,0,5,5,0,1,대우공인중개사사무소,"02-997-1881,010-3528-1881",0,2012,"가스레인지, 냉장고, 신발장, 싱크대, 전자레인지, 침대, 벽걸이에어컨, ",none,0.5,0.0,0.5,0.0,0,1,0,"['127.011811179706', '37.6547235229072']",372,21,189
일반원룸고층,300,30,0,1,1,서울시 강북구 우이동 56-45,4.87,3.0,0,3,5,0,1,현대공인중개사사무소,"02-905-5949,010-9130-8441",0,2013,none,none,0.0,1.0,0.0,0.0,1,0,0,"['127.012967945265', '37.6564228342577']",158,112,55
빌라3층,500,40,0,1,1,서울시 강북구 우이동 73-63,7.86,5.0,1,3,4,0,1,한국공인중개사사무소,"02-907-2600,010-9337-6325",0,2022,"비디오폰, 인터폰, 카드키, CCTV, 현관보안, 엘리베이터, 무인택배함, ",none,0.0,1.0,0.0,0.0,0,1,0,"['127.011593461222', '37.6501998901023']",803,175,199
단독,500,35,0,2,1,서울시 강북구 우이동,9.98,2.0,0,1,2,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",0,1639,none,none,1.0,0.0,0.0,0.0,0,1,0,"['127.001890452891', '37.6630390800114']",1223,400,958
단독,500,25,0,2,1,서울시 강북구 우이동,9.98,2.0,0,1,2,0,1,행운부동산공인중개사사무소,"02-990-3456,010-6409-6944",0,1983,none,none,0.0,0.0,1.0,0.0,0,1,0,"['127.001890452891', '37.6630390800114']",1223,400,958
